gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Cpa6	chr1	7282444	7737752	0.261733	3	29.1186	0.91178	4.46868	5
Gm7560	chr1	8865247	8933147	-0.339504	2	22.9973	0.982765	2.95656	3
Gm6216	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Gm29663	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Sulf1	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Slco5a1	chr1	9412328	9800338	-0.572607	2	24.1092	0.402222	2.93341	3
Gm37162	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm5250	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm29283	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Prdm14	chr1	9800348	9911063	-0.68734	1	23.4538	0.626005	2.91991	3
Gm9947	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Msc	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Gm37412	chr1	11436633	11560265	0.273814	2	37.2261	0.531922	2.89898	3
Gulp1	chr1	41212227	41289345	0.437209	3	21.8378	0.727142	2.71287	3
Pms1	chr1	49744133	49909163	-0.510492	1	22.4276	0.612318	3.27328	4
Gtf3c3	chr1	50977018	51127680	0.329244	3	40.46	0.975867	3.78167	4
Gm18802	chr1	55198517	55319427	0.332704	2	28.797	0.963204	8.76994	10
Flacc1	chr1	55222017	55316416	0.234448	1	27.1745	0.993856	4.49633	5
Gm28803	chr1	55316623	55319427	0.463938	3	29.1123	0.937759	2.46515	3
Wdr12	chr1	56710482	56965891	0.340257	3	32.2289	0.93338	2.39951	3
Plekhm3	chr1	60991163	61590718	0.200316	2	27.2736	0.984205	2.24012	3
Acsl3	chr1	75095841	75214176	0.342968	2	30.5567	0.896064	3.72178	4
Utp14b	chr1	75095841	75212452	0.318363	2	28.2367	0.896064	2.91758	3
Col4a3	chr1	78915610	79275387	-0.262895	2	19.3353	0.637762	2.78007	3
Dner	chr1	80705088	81292747	-0.236921	2	19.8118	0.950103	3.78981	4
Sp100	chr1	81888186	82373900	0.210784	4	29.1794	0.96344	4.45458	8
Gal3st2b	chr1	90341469	90519184	-0.298347	1	17.8018	0.899728	8.06563	9
Gal3st2	chr1	90393295	90773855	-0.362637	1	16.5903	0.885812	6.40127	7
Gm18666	chr1	90517861	90535133	-0.372599	1	16.5311	0.782999	3.61119	4
Gm7133	chr1	93647979	93934905	-0.207963	2	17.6831	0.999658	2.899	3
Cntnap5b	chr1	96338682	97007588	-0.208847	2	19.4227	0.871013	5.87756	6
Rnf152	chr1	101627180	101820660	-0.207758	2	21.5696	0.473929	2.96357	3
Serpinb3a	chr1	103439334	103727018	0.356345	3	31.1504	0.95247	5.07882	6
9330185C12Rik	chr1	110104124	110259129	-0.438047	2	16.8248	0.693792	2.84908	3
Cntnap5a	chr1	111770140	112812144	-0.277532	2	17.8556	0.970044	3.77226	4
MGP_FVBNJ_G0004900	chr1	120760038	121112295	-0.2029	2	20.0654	0.55953	5.93234	6
Cd55b	chr1	126478538	126579147	0.293006	3	33.7241	0.957412	2.96246	4
Cd55	chr1	126478538	126579147	0.293006	3	33.7241	0.957412	2.96246	4
Cntn2	chr1	128187310	129047506	-0.293975	2	21.6154	0.191337	2.92445	3
Zc3h11a	chr1	129713506	130046350	0.785165	4	42.3301	0.756574	1.96009	3
MGP_FVBNJ_G0016337	chr1	129713506	130046350	0.785165	4	42.3301	0.756574	1.96009	3
Cfh	chr1	136257903	136358375	0.283405	3	25.1049	0.992983	3.50107	4
Lamc2	chr1	148922133	149235206	0.2551	2	33.4728	0.980987	2.08867	3
Lamc1	chr1	149234317	149337887	0.311603	3	30.5849	0.99317	2.34674	3
Lhx4	chr1	151471352	152007413	-0.315199	2	18.6412	0.980131	2.27642	3
Soat1	chr1	152326041	153068277	-0.289137	1	20.4309	0.906718	2.67153	3
Fcgr3	chr1	166682002	167123973	-0.28894	2	21.107	0.79089	2.46824	3
Gm18445	chr1	169608849	169778409	-0.325158	1	15.656	0.736153	6.32146	8
Kif26b	chr1	174159138	175329165	-0.226669	2	20.9918	0.455814	2.89656	3
Tfb2m	chr1	175328474	175455117	-0.203135	1	20.8798	0.924333	2.87503	3
Gm1818	chr1	175328474	175455117	-0.203135	1	20.8798	0.924333	2.87503	3
Celf2	chr2	3765079	4970820	0.365719	3	38.1372	0.956873	3.51121	4
Nup214	chr2	28820151	28823176	-0.434684	1	24.3873	0.954621	1.91117	3
Fam78a	chr2	28820151	29036969	-0.251353	1	33.8106	0.954621	2.27305	4
Gm16534	chr2	28820151	29036969	-0.251353	1	33.8106	0.954621	2.27305	4
2600014E21Rik	chr2	71139997	72187429	0.260529	2	29.3643	0.992967	2.75942	3
Nckap1	chr2	76850269	77074974	-0.262531	1	11.9496	0.889287	2.89488	3
Itgav	chr2	79942763	80333426	-0.285994	1	13.8626	0.22183	2.93592	3
Slc39a13	chr2	87266357	87458115	-0.213915	2	22.1789	0.954154	2.88609	3
Trim44	chr2	98372865	99059834	0.285977	3	31.3212	6.43847e-06	2.98225	3
Mettl15	chr2	105261613	105469493	0.317394	3	24.7499	0.941033	2.58074	3
MGP_FVBNJ_G0026056	chr2	107367031	107409922	0.485785	3	28.3674	0.741808	2.35	3
MGP_FVBNJ_G0011706	chr2	107558854	107707099	0.211152	4	24.7627	0.93338	3.35816	4
Gm13930	chr2	107830481	107903329	-0.237656	2	17.7039	0.902218	2.21737	3
Cdan1	chr2	116552130	117426440	-0.779993	1	14.5693	4.0661e-06	2.95264	3
Ttbk2	chr2	116552130	117426440	-0.779993	1	14.5693	4.0661e-06	2.95264	3
Catsper2	chr2	117421345	117455148	-1.06435	1	10.7222	0.000411176	2.76734	3
Pdia3	chr2	117426450	117553725	-0.632765	1	14.3425	1.26771e-10	3.66739	4
Galk2	chr2	121991089	122170563	0.286325	3	25.2914	0.945503	2.82434	3
Gm14064	chr2	133785076	134203116	0.200412	2	24.8686	0.982333	2.94277	3
Btbd3	chr2	134285846	134963807	0.278947	2	23.0447	0.998618	2.83704	3
Gm14066	chr2	135263848	136061518	0.482955	5	29.8931	0.769426	3.89816	5
Asxl1	chr2	149391023	149612087	-0.284351	1	27.9868	0.989241	2.5259	3
Gm16685	chr3	4199247	4288759	0.303125	2	34.4756	0.915043	2.79872	3
Sirpb1b	chr3	11824661	12330866	-0.437636	1	20.3162	0.967822	11.7968	15
Nlgn1	chr3	21829432	22789252	0.295676	3	36.4191	0.643387	2.76615	3
1700112D23Rik	chr3	24801123	25052984	0.204954	2	36.8116	0.978568	2.81659	3
Egfem1	chr3	25489581	26705701	-0.267263	1	32.6659	0.14961	6.90982	7
Mfsd8	chr3	36732540	36775129	0.332216	3	42.539	0.978819	3.25073	4
Abhd18	chr3	36732540	37896214	0.210626	3	39.3689	0.978819	4.23128	5
Iqcj	chr3	63320606	64172946	-0.245586	1	29.8696	0.883159	2.88232	3
Iqschfp	chr3	63320606	64172946	-0.245586	1	29.8696	0.883159	2.88232	3
Fstl5	chr3	71294441	71919977	-0.440662	4	21.1018	0.978052	2.3164	4
Rapgef2	chr3	74056120	75058820	-0.202086	1	29.2768	0.684984	2.80474	3
Gm42468	chr3	75908187	76240853	0.264548	2	38.2922	0.902218	2.8058	3
Tuft1	chr3	89555914	89691203	-0.245775	2	23.2917	0.9975	2.45525	3
Hsd3b1	chr3	93945752	94110792	-0.230934	2	20.6694	0.774564	2.9346	3
Ampd1	chr3	98207855	98345424	-0.271453	1	20.5361	0.875712	2.82159	3
Gm43063	chr3	98207855	98345424	-0.271453	1	20.5361	0.875712	2.82159	3
Ndst4	chr3	120395635	120988860	0.37238	3	33.9059	0.959111	3.47425	4
Negr1	chr3	151277035	152121929	-0.203361	2	20.2412	0.893974	2.9195	3
Depdc1a	chr3	154094688	154208112	0.401955	3	33.9761	0.973828	2.6094	3
Gm11823	chr4	10084981	10413854	-0.227324	1	19.7163	0.720205	2.93178	3
Klhl32	chr4	20660301	21393806	0.502587	4	35.8961	0.940737	2.17946	3
Gm12678	chr4	40731857	40888274	-0.212894	1	21.6846	0.693853	2.51423	3
Cyp2j7	chr4	91573654	91674668	0.295161	2	29.633	0.947723	2.366	3
Cyp2j8	chr4	91797775	92182882	0.214583	3	29.3276	0.985024	2.73869	3
Ldlrad1	chr4	102512510	103345908	0.243628	3	31.5351	0.981849	2.44014	3
Scp2	chr4	103344388	103815273	0.200267	4	27.7173	0.888307	4.33091	5
Prdx1	chr4	112215187	112241616	0.27568	2	36.1641	0.976445	2.68276	3
Gm12828	chr4	112704411	113024500	0.206708	2	36.5733	0.590317	3.81657	4
Zdhhc18	chr4	129522118	129729616	0.236515	2	37.4038	0.9985	2.78779	3
Cdk6	chr5	181370	553913	0.669004	3	52.3291	0.979013	1.99046	3
Gm31831	chr5	7013101	7147611	0.264191	2	25.9068	0.970469	2.82367	3
Pcdh7	chr5	54267439	54918080	0.369074	2	30.5561	0.999658	2.65228	3
Gabrg1	chr5	67230286	67494287	0.420229	3	32.4678	0.626667	3.27008	4
Slc10a4-ps	chr5	69468705	69480210	-0.525268	1	16.067	0.98114	1.91327	3
Kit	chr5	72046506	72320409	0.279078	2	29.7969	0.980131	2.77886	3
Tecrl	chr5	79801719	80154116	-0.298495	1	19.1685	0.947723	2.71752	3
1700066N21Rik	chr5	84389940	84471752	-0.597409	1	19.5462	0.95247	2.39371	3
Cxcl15	chr5	87195146	87370498	0.21624	2	29.6525	0.995696	2.51224	3
Mthfd2l	chr5	87370078	87591097	0.209554	3	31.9743	0.99606	2.74864	3
Gbp8	chr5	101765711	102350755	-0.284323	1	25.2847	0.971613	3.40416	5
Gbp9	chr5	101856438	102350755	-0.209892	1	27.3639	0.970469	2.90598	4
Grk3	chr5	109803174	110224088	-0.207116	2	29.918	0.363271	2.95841	3
Sgsm1	chr5	110123964	110291844	-0.246169	2	28.7093	0.925417	2.84633	3
Oas1e	chr5	118121377	118258427	-0.287198	1	23.2019	0.875395	4.89049	7
1700081B01Rik	chr5	123957996	125035939	-0.221034	2	27.7362	0.810127	2.92297	3
Caln1	chr5	128010077	128628881	-0.243386	2	26.0704	0.980131	3.71878	4
Clip2	chr5	130414224	132106275	0.204103	3	52.3457	0.956362	6.2382	7
Gtf2ird1	chr5	131891060	132106275	0.280925	3	58.1211	0.987179	2.77118	3
Cyp3a41a	chr5	143357123	143953877	0.426129	3	71.7429	0.872072	13.4892	17
Cyp3a44	chr5	143357123	143669440	0.504943	3	77.0178	0.872072	9.10402	12
Wasf3	chr5	144324838	144518972	-0.226988	2	44.6989	0.682823	2.25867	3
Usp12	chr5	144770724	145219896	-0.243348	1	46.1333	0.583412	2.92508	3
Mtus2	chr5	146070169	147265734	-0.201724	1	46.9451	0.984121	3.5549	4
Cpa5	chr6	26682287	27200920	0.200608	2	36.9841	0.993242	2.67176	3
Cntnap2	chr6	41450164	43963879	0.219256	3	31.9672	0.848894	9.71197	11
Abcg2	chr6	54714282	55139916	-0.20703	3	30.654	0.985024	3.34325	4
Vmn1r41	chr6	86210751	86363750	-0.237254	2	38.9042	0.973775	2.7137	3
Nr2c2	chr6	88544063	89206356	0.211035	2	55.666	0.80534	2.9193	3
9530026P05Rik	chr6	89207409	89941572	0.218921	2	56.5846	0.612737	2.93916	3
Gm32592	chr6	94558750	94876588	0.373605	4	56.2097	0.826852	2.66378	3
Gm34933	chr6	103435271	103599070	-0.257717	2	43.7598	0.937429	2.93737	3
Edem1	chr6	104978436	105160202	-0.227211	2	46.8827	0.55937	2.94693	3
Grm7	chr6	106909669	107867142	-0.238828	1	42.9968	0.643025	10.6711	11
Zfp422	chr6	112832740	113557126	-0.292084	1	45.5214	0.833141	2.90862	3
Gm45083	chr6	113557765	113899991	-0.344108	2	42.3704	0.240867	2.70378	3
Gm10319	chr6	117972236	118463739	-0.210717	2	42.8764	0.831497	8.64657	9
Klrg1	chr6	118447429	118708632	-0.247117	1	43.361	0.975867	2.82646	3
Rimklb	chr6	118465030	118755228	-0.213354	2	47.3167	0.684984	2.95879	3
