gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Celf2	chr2	4216418	8962545	0.821026	5	29.8618	0.0542721	3.77077	4
Epc2	chr2	45983898	54586709	-0.543322	2	9.73683	0.825145	2.64714	3
Ptprj	chr2	86730796	87965018	-0.623517	0	16.9594	0.802727	2.65609	3
Gm13767	chr2	86730796	87965018	-0.623517	0	16.9594	0.802727	2.65609	3
Gm13768	chr2	86730796	87965018	-0.623517	0	16.9594	0.802727	2.65609	3
A430048G15Rik	chr2	129424692	137458227	-0.291998	1	12.7027	0.257632	2.98434	3
Kirrel	chr3	81963445	82174801	0.513385	3	33.4112	1.55346e-07	2.96445	3
Alg14	chr3	116116184	122811987	-0.508173	1	22.7285	0.107739	2.9604	3
St6galnac3	chr3	147474576	149311467	-0.210896	2	21.0832	0.0499294	2.98561	3
0	chr4	77710026	151785215	-0.294209	2	15.909	0.449041	31.4637	33
1700057H15Rik	chr4	119763484	120770877	-0.217548	2	16.7719	0.977192	2.98342	3
Gm2164	chr4	120149252	121044372	-0.230692	1	16.8978	0.166662	2.98642	3
Zfp978	chr4	143026906	143593860	-0.801082	6	10.8833	0.623952	2.34613	3
Zfp600	chr4	143026906	143593860	-0.801082	6	10.8833	0.623952	2.34613	3
Mmd2	chr5	140245245	140746713	0.324122	3	43.3386	0.00139032	2.98149	3
Wipi2	chr5	140468963	141090736	0.328524	3	43.7744	0.0759509	2.97813	3
0	chr6	44111448	146067048	-0.314505	3	22.3688	9.18571e-07	17.281	18
Prkcb	chr7	120917351	126728610	-0.514634	2	16.4096	0.499864	2.86075	3
Cntnap4	chr8	108854527	109833225	0.341959	3	36.4946	0.882351	5.94917	6
Wwox	chr8	111226602	111704936	-0.538604	1	20.7992	0.915749	2.93986	3
0	chr9	48457667	117864763	-0.303733	2	15.4502	0.268996	14.3244	15
Rbms3	chr9	113142174	117864763	-0.829721	0	11.5982	8.58169e-16	5.82294	6
0	chr13	40910628	51366681	-0.309922	2	18.0096	0.930541	3.90338	4
Fbxl7	chr15	22894599	23386147	-0.258512	1	39.2336	0.2205	2.97907	3
Ank	chr15	23756268	24341818	-0.262473	1	43.6758	0.0359101	2.98358	3
Ankrd33b	chr15	27577703	27962440	-0.610222	1	34.4366	1.96087e-07	2.9824	3
Cmbl	chr15	27801278	28824309	-0.263276	1	43.4532	8.38847e-15	2.9795	3
Sema5a	chr15	28320633	34558602	0.227089	2	56.7227	0.279238	4.97136	5
Sybu	chr15	40743067	41048447	-0.572048	1	33.3764	0.268996	3.90451	4
Has2os	chr15	52507783	58276475	0.359329	3	52.9498	0.770774	3.92457	4
0	chr16	18793262	91339685	-0.207794	3	12.949	0.070448	17.4981	20
0	chr17	5424838	19114420	-0.282692	2	30.0472	0.901463	7.92815	8
Prkn	chr17	8371295	9295534	-0.231178	2	31.4268	0.869679	2.97702	3
Kdm2a	chr19	1162338	3666495	0.306715	3	29.7989	0.342212	2.93539	3
Rhox3e	chrX	32073738	33436096	-0.281575	0	20.3577	0.765936	1.76473	3
Tenm1	chrX	37257610	47281826	0.585335	4	27.4988	0.821856	2.82781	3
Gm20455	chrX	68952995	70331520	0.627241	4	17.1492	0.615084	2.84118	3
Dmd	chrX	78067528	81308177	0.295709	3	12.6264	0.977192	8.06261	9
Mageb18	chrX	87301483	89100445	-1.23454	1	4.57726	0.0964391	2.70751	3
Dach2	chrX	108559852	109105488	-0.435175	0	7.48307	0.0422479	2.6669	3
Pcdh11x	chrX	115479209	117101389	0.855985	4	16.2043	0.431106	5.41313	6
Kir3dl2	chrX	131745795	131838387	-1.21601	0	4.90859	0.707841	3.32936	4
3010001F23Rik	chrX	147543080	148010698	-1.27581	0	6.50177	4.3536e-12	3.63269	4
Gm15155	chrX	151210835	152171744	1.08252	4	22.807	0.882351	2.56095	3
