gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
Fam135a	chr1	20608342	20859560	0.200038	2	23.7825	0.792505	2.98316	3
Col9a1	chr1	20794258	21072313	0.249624	3	24.4874	0.639713	2.97902	3
Col19a1	chr1	20860252	21753060	0.244128	3	23.126	0.0781158	3.91959	4
Gm29260	chr1	38342402	39029350	-0.273683	1	20.0135	0.991255	3.90344	4
Nck2	chr1	40024316	40332276	0.294588	3	32.4745	0.640133	2.97102	3
Uxs1	chr1	40131340	40404416	0.296918	3	32.6514	0.0380135	2.96266	3
Dnah7c	chr1	42960056	43527231	-0.390426	1	15.0363	0.0550738	3.28417	4
Macir	chr1	94021351	94295562	-0.238433	2	17.6765	0.6511	2.97225	3
Pam	chr1	94287808	95239353	-0.289454	1	16.8565	0.894872	4.92316	5
Rabgap1l	chr1	156124779	156681826	-0.267198	2	19.436	0.898273	2.93573	3
Cd46	chr1	190656590	190802820	0.686759	3	53.2607	1.82457e-08	3.87174	4
Dnajc1	chr2	14773787	15460116	-0.209255	2	20.9116	0.773817	2.9766	3
Cdk9	chr2	29359267	31684285	-0.33069	2	15.4436	0.645262	2.9414	3
Intu	chr3	36442432	36736882	-0.285772	2	17.0474	0.649867	2.92437	3
Mfsd8	chr3	36559769	36778058	-0.458103	2	15.6196	0.765596	3.83941	4
Abhd18	chr3	36736280	37033876	-0.415321	1	15.6667	0.987099	5.79393	6
Supt20	chr3	50224062	51383814	-0.209389	2	17.5333	0.229688	2.97829	3
Mbnl1	chr3	55937128	56543446	-0.253861	1	18.0062	0.740639	2.96626	3
Gmps	chr3	58984788	59495367	-0.275202	2	17.1976	0.860888	2.0155	3
4931440P22Rik	chr3	60891328	61511949	-0.210019	1	18.2717	0.913775	2.96254	3
Iqschfp	chr3	63486515	64453469	-0.346138	2	16.3988	0.911353	2.93903	3
Schip1	chr3	63486515	64453469	-0.346138	2	16.3988	0.911353	2.93903	3
Gm37240	chr3	78581010	81039397	-0.343244	2	16.56	0.174929	4.90691	5
Gatb	chr3	80477996	81039397	-0.4721	2	14.8705	0.784432	2.91341	3
Kirrel	chr3	81963445	82174801	0.256993	3	24.7027	0.0762487	2.9743	3
St7l	chr3	99941120	100805651	-0.217734	1	19.3484	0.433212	2.98525	3
Ddx20	chr3	100467618	101151359	-0.239983	2	19.362	0.115876	2.97376	3
Unc5c	chr3	136044697	145279815	-0.255622	2	16.9724	0.698437	2.93776	3
0	chr4	8934205	152812226	-0.231489	2	18.3813	0.969892	155.384	162
Astn2	chr4	61623805	62378558	-0.239336	2	20.7512	0.0692677	3.98435	4
Cdk5rap2	chr4	65854111	66305053	-0.23258	1	17.3288	5.83751e-08	2.98836	3
Ptprd	chr4	71402511	80080764	-0.251978	2	16.4862	0.623536	5.90225	6
Gm12811	chr4	104857865	105829655	0.382501	2	24.5789	0.975054	2.91627	3
9130410C08Rik	chr4	110202947	111329921	-0.206425	2	18.4632	0.78052	2.98615	3
Atpaf1	chr4	111250864	111597238	-0.201354	2	18.6856	0.559645	2.98289	3
Cplane2	chr4	137396847	140304397	-0.322104	2	15.5448	0.59877	2.88016	3
Zfp600	chr4	143025925	143649399	-0.978574	1	6.09572	0.719132	2.66424	3
Draxin	chr4	144494467	145151003	-0.253775	2	16.2224	0.00257349	2.98876	3
Mtor	chr4	144788610	145736034	-0.250742	2	16.6732	0.00257349	2.9884	3
Pex14	chr4	145522358	145771757	-0.370521	2	15.1351	0.0751449	2.92838	3
Dffa	chr4	145738807	146082096	-0.44845	1	13.9805	0.191809	3.86352	4
Ube4b	chr4	145779300	146433654	-0.381411	2	14.5128	0.00453991	2.9244	3
Rere	chr4	146886724	148596252	-0.288032	2	15.7657	0.00517857	4.90413	5
Camta1	chr4	147618542	148916139	-0.338711	2	15.254	0.00131034	2.96504	3
Espn	chr4	148596666	148997428	-0.37387	1	14.8443	0.000304333	2.96191	3
Acot7	chr4	148919644	152118296	-0.21691	1	16.6963	0.0155824	2.99048	3
Ankib1	chr5	466526	657601	-0.278516	2	17.1017	0.265415	2.96942	3
Gm34086	chr5	121422984	121996904	-0.257964	2	16.4365	0.908899	2.9486	3
Gm43661	chr5	121422984	121996904	-0.257964	2	16.4365	0.908899	2.9486	3
Sdk1	chr5	139798723	140245235	0.274057	3	33.4245	0.0282976	2.98128	3
Mmd2	chr5	140245245	140746713	0.21812	2	32.6749	0.158733	2.9871	3
Wipi2	chr5	140468963	141090736	0.228408	3	33.4051	0.225653	2.98345	3
Gm42906	chr5	149026839	149638016	0.236325	2	32.8252	0.0611403	2.97148	3
Vmn2r18	chr5	149690124	149830573	0.310477	3	34.7182	0.105245	2.97214	3
Rpl18a-ps3	chr6	64384578	66740871	0.269481	1	24.6588	0.837968	3.60201	4
Igkv1-117	chr6	64384578	66740871	0.269481	1	24.6588	0.837968	3.60201	4
Igkv1-110	chr6	64384578	66740871	0.269481	1	24.6588	0.837968	3.60201	4
Igkv8-27	chr6	66739621	66832465	0.524511	3	27.5098	0.715315	2.85525	3
Ctnna2	chr6	73280706	75649060	-0.332547	2	18.5297	0.906264	8.8991	9
Alms1-ps2	chr6	82143048	82777334	-0.729477	1	13.5216	0.727106	2.34363	3
Alms1-ps1	chr6	82143048	82777334	-0.729477	1	13.5216	0.727106	2.34363	3
Klra10	chr6	126459507	127030551	0.26973	3	26.8783	0.943251	2.87437	3
Lair1	chr7	884118	2149756	0.373838	3	23.5051	0.524207	2.92053	3
Psg23	chr7	15854460	16669119	-0.269082	3	16.5377	0.808266	2.74593	3
Ceacam1	chr7	23230496	24031778	0.200182	4	22.3258	0.649867	2.86058	3
Arhgap33os	chr7	28046701	28998062	-0.35107	2	19.1567	0.491819	2.89146	3
Dlg2	chr7	89624843	91172650	-0.517773	1	16.4299	0.710925	2.8276	3
Prcp	chr7	91172960	92114072	0.226122	2	27.1786	0.622565	2.92926	3
Abca14	chr7	118883174	119139076	0.207493	3	31.0939	0.521301	2.97862	3
4933432K03Rik	chr7	120074574	121197286	0.26149	2	32.3253	0.860672	3.94592	4
Tubgcp2	chr7	138681819	139858483	-0.257547	2	22.9973	0.673793	2.95702	3
Gm17387	chr7	139858493	140329229	-0.257576	1	22.6563	0.811931	2.96993	3
Defb12	chr8	15937727	16045297	-0.251792	2	20.1843	0.823207	2.97256	3
Unc5d	chr8	26016482	27171840	-0.280315	2	15.9805	0.847206	2.94066	3
Pde4c	chr8	66568083	67288920	-0.390325	2	14.8878	0.915083	2.92358	3
Unc13a	chr8	67871429	68435633	-0.399506	2	14.7081	0.423558	2.82937	3
Rfx1	chr8	80082773	81308027	-0.208607	2	17.5413	0.305152	2.98849	3
Dync2h1	chr9	3722482	4582334	-0.351541	2	19.5078	0.749864	2.93974	3
Herpud2	chr9	21488524	23602494	-0.225487	2	21.2319	0.811162	2.98247	3
Fbxw14	chr9	105495623	105877109	0.408533	3	29.4954	0.453474	3.90095	4
Itga9	chr9	115040957	115662598	-0.342887	2	23.5263	0.811931	2.88482	3
2610008E11Rik	chr10	75131679	75621225	-0.218961	2	21.0482	0.383015	2.98064	3
Ewsr1	chr11	1966084	18317490	-0.484221	1	20.2059	0.708796	2.85395	3
Fancl	chr11	23042252	25922359	-0.329095	1	20.9078	0.991255	2.89408	3
Gm12187	chr11	45326801	46245336	-0.526461	2	21.2943	0.750107	2.75205	3
Sdc1	chr12	5476692	5884119	-0.341672	2	16.3524	0.317492	2.98158	3
Wdr35	chr12	5625365	8130550	-0.306352	2	16.6151	0.00517857	2.98472	3
Greb1	chr12	13429129	14207215	-0.252393	1	16.867	0.997663	2.93812	3
Taf1b	chr12	21312585	23266934	-0.369883	1	15.7625	0.896799	2.8301	3
Psma3	chr12	66899068	67894029	-0.385745	1	15.938	0.913775	2.85624	3
Gm17042	chr12	99734357	100294501	-0.264356	1	19.4741	0.971763	2.736	3
Gm8895	chr12	99734357	100294501	-0.264356	1	19.4741	0.971763	2.736	3
H3c6	chr13	19770754	19789216	-0.443341	1	18.2489	0.847206	2.88119	3
H3c7	chr13	19770754	19789216	-0.443341	1	18.2489	0.847206	2.88119	3
H4c4	chr13	19809890	19818864	-0.439857	1	17.9939	0.186029	2.90076	3
