gene	chromosome	start	end	log2	cn	depth	p_bintest	weight	probes
St18	chr1	3761886	3919809	0.307491	2	31.3236	0.973268	1.92987	2
Gm42492	chr1	3761886	3919809	0.307491	2	31.3236	0.973268	1.92987	2
Gm7449	chr1	3761886	3919809	0.307491	2	31.3236	0.973268	1.92987	2
Gm30414	chr1	4436368	6369337	0.480135	3	24.6211	0.764025	2.84208	3
Stau2	chr1	13159640	15275109	0.546263	3	32.622	0.970698	1.76196	2
Pkhd1	chr1	17008752	18069581	0.404776	3	28.5761	0.985735	1.87518	2
Col9a1	chr1	20859570	25900760	0.796085	3	27.9833	0.892717	1.80424	2
Gm28551	chr1	49820629	50334419	-0.646587	1	13.8005	0.993792	1.71643	2
Gm18800	chr1	49820629	50334419	-0.646587	1	13.8005	0.993792	1.71643	2
1700066M21Rik	chr1	53946512	56690517	-0.605333	1	13.983	0.903335	1.77531	2
Gm7855	chr1	53946512	56690517	-0.605333	1	13.983	0.903335	1.77531	2
Pard3b	chr1	58540012	62597437	-0.419124	2	17.2658	0.55668	1.76453	2
Gm29640	chr1	58540012	62597437	-0.419124	2	17.2658	0.55668	1.76453	2
Gm29641	chr1	58540012	62597437	-0.419124	2	17.2658	0.55668	1.76453	2
Marchf4	chr1	68938934	70350602	0.482125	3	34.2326	0.972786	1.90851	2
Sp100	chr1	81980243	83152780	-0.4985	1	20.9282	0.996136	1.59948	2
Dis3l2	chr1	83128121	83532401	-0.206765	2	25.2648	0.840563	3.95485	4
Gm29097	chr1	83153930	83387288	-0.222042	2	24.1683	0.630191	1.97726	2
Gm37485	chr1	83153930	83387288	-0.222042	2	24.1683	0.630191	1.97726	2
Gm38142	chr1	83153930	83387288	-0.222042	2	24.1683	0.630191	1.97726	2
Gm38010	chr1	83153930	83387288	-0.222042	2	24.1683	0.630191	1.97726	2
Thsd7b	chr1	125863309	129427396	0.581073	4	33.2097	0.693261	2.75953	3
Rgl1	chr1	148653900	156681826	-0.554244	1	17.9394	0.845685	1.86168	2
Cd46	chr1	190774108	190926165	1.06358	5	72.1163	0.776438	1.57786	2
Cr1l	chr1	190774108	190982667	1.00402	5	66.5118	0.776438	2.52477	3
Cr2	chr1	190802830	190982667	0.969308	5	62.8569	0.632995	1.7674	2
Gm37887	chr1	190802830	190982667	0.969308	5	62.8569	0.632995	1.7674	2
MGP_FVBNJ_G0009322	chr1	190802830	190982667	0.969308	5	62.8569	0.632995	1.7674	2
Nebl	chr2	14309822	17329780	0.574265	4	29.2073	0.655651	1.83486	2
Gm13481	chr2	44809501	50038307	-0.386902	1	15.8519	0.900676	1.91831	2
Itgav	chr2	80007200	80841854	0.618723	4	26.5144	0.89469	1.76914	2
Lrrc4c	chr2	93144010	94228702	0.482249	3	22.5483	0.997488	2.77943	3
Cd59b	chr2	100270260	102555887	0.37943	3	26.6155	0.983948	1.87134	2
Dcdc5	chr2	102555447	106026792	0.592846	3	25.5498	0.983948	1.79089	2
Fermt1	chr2	128963049	135473876	-0.376665	2	13.3493	0.980001	1.90676	2
Gm14102	chr2	128963049	135473876	-0.376665	2	13.3493	0.980001	1.90676	2
Gm14101	chr2	128963049	135473876	-0.376665	2	13.3493	0.980001	1.90676	2
Gm14066	chr2	135473248	137185078	-0.361464	1	13.2571	0.860839	1.91124	2
MGP_FVBNJ_G0009570	chr2	138268363	146063118	0.253311	2	22.7805	0.916983	1.74614	2
Zhx3	chr2	156940453	157837962	0.395832	3	43.0159	0.929511	1.90237	2
Ptprt	chr2	157764981	158916726	0.313287	3	46.4983	0.305537	5.85516	6
9430021M05Rik	chr2	158676911	158916726	0.267402	3	48.092	0.357008	1.98323	2
Gm14246	chr2	158676911	158916726	0.267402	3	48.092	0.357008	1.98323	2
Gm22936	chr2	158798713	158956566	0.262036	3	47.7891	0.43128	1.9816	2
Gm11450	chr2	158798713	158956566	0.262036	3	47.7891	0.43128	1.9816	2
MGP_FVBNJ_G0037524	chr2	158798713	158956566	0.262036	3	47.7891	0.43128	1.9816	2
Gm14255	chr2	158922392	158971924	0.246132	3	47.8098	0.55668	1.97501	2
Gm11451	chr2	158956576	166680301	0.270432	3	51.2059	0.884328	1.96209	2
Slc7a14	chr3	27435339	29870395	-0.305797	2	21.582	0.971658	1.9449	2
Gm15496	chr3	27435339	29870395	-0.305797	2	21.582	0.971658	1.9449	2
Mfsd8	chr3	36736892	37900936	-0.311237	1	16.2277	0.98229	1.92124	2
Abhd18	chr3	36736892	37900936	-0.311237	1	16.2277	0.98229	1.92124	2
Gm10731	chr3	36736892	37900936	-0.311237	1	16.2277	0.98229	1.92124	2
Vmn2r7	chr3	59657162	59753973	-0.220093	3	15.6589	0.995229	1.85896	2
Vmn2r4	chr3	59657162	59753973	-0.220093	3	15.6589	0.995229	1.85896	2
Vmn2r3	chr3	59657162	59753973	-0.220093	3	15.6589	0.995229	1.85896	2
Gon4l	chr3	83777253	87713150	-0.537382	0	13.2333	0.922011	1.38306	2
Selenbp2	chr3	89802099	92888004	-0.872115	1	8.95008	0.834393	3.36797	4
Pde4dip	chr3	92887686	93548715	-1.11704	1	7.88436	0.774438	1.1737	2
Chil5	chr3	101151627	109714318	0.248943	1	16.2264	0.997618	1.891	2
Gm4540	chr3	101151627	109714318	0.248943	1	16.2264	0.997618	1.891	2
Gm9504	chr3	101151627	109714318	0.248943	1	16.2264	0.997618	1.891	2
Gm43470	chr3	145279355	146333842	-0.440637	1	13.1097	0.704022	1.91786	2
Gm11254	chr4	70289741	70510928	-0.457137	1	13.6034	0.942295	1.92163	2
Focad	chr4	83877436	84173891	-0.471037	2	13.5516	0.965426	1.90148	2
Dnai4	chr4	98357323	104901310	0.502274	3	23.6446	0.969079	2.77825	3
Agbl4	chr4	106226657	107664588	-0.575813	2	10.9426	0.967317	1.70596	2
Zdhhc18	chr4	129524775	133219734	0.353273	3	31.6941	0.985473	1.87895	2
Miip	chr4	144459270	146082096	-0.375503	2	22.7997	0.999675	1.89018	2
Fv1	chr4	144459270	146082096	-0.375503	2	22.7997	0.999675	1.89018	2
Mfn2	chr4	144459270	146082096	-0.375503	2	22.7997	0.999675	1.89018	2
Ube4b	chr4	146081725	149620114	-0.420806	1	21.5527	0.889134	1.87946	2
Adam22	chr5	4993342	7077517	-0.468311	1	17.0693	0.971658	2.74073	3
Gm42490	chr5	5033113	7077517	-0.378856	2	19.1852	0.703095	1.92313	2
Reln	chr5	18902209	36295312	-0.419018	2	18.8264	0.980725	1.86616	2
Gm16113	chr5	18902209	36295312	-0.419018	2	18.8264	0.980725	1.86616	2
Gm16112	chr5	18902209	36295312	-0.419018	2	18.8264	0.980725	1.86616	2
Gm16110	chr5	18902209	36295312	-0.419018	2	18.8264	0.980725	1.86616	2
Gm25459	chr5	18902209	36295312	-0.419018	2	18.8264	0.980725	1.86616	2
